User ID,MAE
849,0.2535
355,0.2809
644,0.2878
688,0.3368
552,0.3611
25,0.3962
507,0.4032
118,0.4106
384,0.4156
275,0.4202
10,0.4263
60,0.4308
800,0.4345
923,0.4362
573,0.4443
607,0.4444
457,0.4461
185,0.4557
594,0.4558
710,0.4628
237,0.4647
70,0.4665
628,0.4706
928,0.4712
829,0.4716
501,0.4725
555,0.4729
549,0.4739
624,0.4769
694,0.4774
26,0.4790
794,0.4822
646,0.4822
367,0.4859
348,0.4866
376,0.4895
874,0.4902
135,0.4941
359,0.4942
329,0.4948
540,0.4953
894,0.4957
543,0.4978
655,0.5026
701,0.5062
838,0.5064
267,0.5074
477,0.5092
276,0.5104
757,0.5112
591,0.5124
138,0.5127
292,0.5128
647,0.5129
728,0.5135
784,0.5179
369,0.5253
67,0.5260
52,0.5262
786,0.5267
767,0.5272
399,0.5294
680,0.5299
658,0.5310
378,0.5314
827,0.5316
102,0.5322
852,0.5324
33,0.5327
905,0.5327
613,0.5330
469,0.5332
888,0.5375
640,0.5391
699,0.5392
163,0.5408
892,0.5413
650,0.5414
412,0.5418
455,0.5425
84,0.5432
876,0.5441
235,0.5447
191,0.5447
106,0.5449
171,0.5462
29,0.5475
814,0.5478
210,0.5482
295,0.5483
844,0.5502
284,0.5515
360,0.5519
738,0.5521
643,0.5538
411,0.5540
554,0.5547
748,0.5560
274,0.5579
793,0.5588
615,0.5592
895,0.5599
907,0.5615
810,0.5630
474,0.5631
259,0.5635
85,0.5646
428,0.5646
602,0.5657
184,0.5658
345,0.5662
464,0.5678
750,0.5683
908,0.5694
538,0.5697
225,0.5697
906,0.5719
804,0.5727
429,0.5728
916,0.5735
231,0.5740
294,0.5745
320,0.5748
266,0.5750
344,0.5755
407,0.5765
941,0.5769
283,0.5770
272,0.5791
530,0.5792
92,0.5801
855,0.5802
939,0.5810
686,0.5811
893,0.5813
330,0.5822
504,0.5826
379,0.5831
821,0.5835
361,0.5837
321,0.5848
764,0.5849
645,0.5880
816,0.5891
249,0.5891
357,0.5892
468,0.5896
875,0.5897
450,0.5899
427,0.5902
807,0.5903
687,0.5904
426,0.5906
935,0.5916
583,0.5918
722,0.5920
402,0.5928
413,0.5931
308,0.5936
110,0.5938
372,0.5961
664,0.5964
328,0.5973
666,0.5974
661,0.5979
823,0.5980
542,0.5991
625,0.5992
779,0.5997
2,0.6006
213,0.6009
576,0.6010
198,0.6021
924,0.6022
419,0.6024
30,0.6027
291,0.6031
616,0.6042
339,0.6050
889,0.6064
772,0.6082
214,0.6088
162,0.6093
155,0.6095
323,0.6099
218,0.6101
942,0.6109
423,0.6110
380,0.6110
251,0.6114
144,0.6116
600,0.6120
299,0.6122
534,0.6123
465,0.6123
766,0.6125
799,0.6125
394,0.6136
156,0.6138
177,0.6139
200,0.6143
132,0.6143
514,0.6143
931,0.6151
788,0.6153
523,0.6154
521,0.6155
298,0.6173
350,0.6177
207,0.6184
560,0.6186
334,0.6189
879,0.6201
606,0.6205
553,0.6206
94,0.6208
117,0.6213
41,0.6223
484,0.6225
173,0.6225
569,0.6230
659,0.6236
195,0.6240
785,0.6241
932,0.6244
74,0.6245
633,0.6245
513,0.6247
556,0.6252
577,0.6253
268,0.6262
880,0.6264
741,0.6264
136,0.6265
749,0.6279
262,0.6281
537,0.6283
414,0.6292
535,0.6293
862,0.6293
723,0.6294
843,0.6296
532,0.6303
795,0.6328
56,0.6331
564,0.6331
322,0.6340
629,0.6348
311,0.6353
389,0.6363
178,0.6367
24,0.6371
398,0.6372
565,0.6374
31,0.6380
720,0.6388
545,0.6391
234,0.6396
12,0.6401
377,0.6405
882,0.6414
453,0.6416
397,0.6432
393,0.6433
631,0.6438
72,0.6440
441,0.6452
563,0.6457
442,0.6458
525,0.6460
181,0.6464
293,0.6465
447,0.6471
271,0.6471
332,0.6483
864,0.6489
497,0.6490
252,0.6498
243,0.6510
481,0.6510
854,0.6516
16,0.6516
840,0.6518
660,0.6520
32,0.6523
302,0.6533
101,0.6535
529,0.6537
215,0.6538
826,0.6538
47,0.6540
835,0.6552
23,0.6553
663,0.6556
870,0.6562
319,0.6562
18,0.6563
221,0.6571
860,0.6571
544,0.6571
665,0.6574
45,0.6574
65,0.6576
641,0.6580
735,0.6588
64,0.6591
396,0.6598
273,0.6599
315,0.6601
480,0.6628
194,0.6630
482,0.6632
285,0.6643
253,0.6648
700,0.6650
190,0.6655
850,0.6656
713,0.6666
232,0.6678
775,0.6685
87,0.6689
90,0.6691
782,0.6691
684,0.6692
806,0.6695
903,0.6708
890,0.6712
920,0.6713
43,0.6716
877,0.6718
17,0.6720
422,0.6722
926,0.6724
303,0.6730
417,0.6731
561,0.6734
37,0.6738
711,0.6738
386,0.6744
715,0.6747
510,0.6770
313,0.6771
792,0.6772
727,0.6775
910,0.6777
476,0.6779
579,0.6780
618,0.6784
763,0.6791
373,0.6796
851,0.6800
703,0.6803
522,0.6805
834,0.6806
456,0.6807
636,0.6830
324,0.6832
472,0.6840
909,0.6844
247,0.6855
925,0.6856
137,0.6868
28,0.6869
216,0.6870
770,0.6873
158,0.6876
57,0.6878
841,0.6880
160,0.6886
290,0.6907
483,0.6911
790,0.6919
187,0.6927
473,0.6928
44,0.6931
436,0.6933
116,0.6934
233,0.6939
9,0.6947
571,0.6948
277,0.6950
96,0.6954
130,0.6961
63,0.6964
621,0.6966
11,0.6967
539,0.6968
506,0.6971
430,0.6977
165,0.6989
383,0.6989
776,0.6989
375,0.6992
416,0.6992
388,0.6998
685,0.7014
151,0.7021
112,0.7023
6,0.7025
634,0.7028
238,0.7034
254,0.7039
846,0.7046
716,0.7053
354,0.7056
119,0.7077
836,0.7077
296,0.7080
147,0.7082
226,0.7084
479,0.7084
391,0.7087
622,0.7087
682,0.7096
470,0.7099
832,0.7105
8,0.7110
632,0.7111
100,0.7116
585,0.7119
541,0.7122
919,0.7126
885,0.7126
595,0.7129
431,0.7142
256,0.7143
721,0.7146
48,0.7152
933,0.7153
220,0.7153
172,0.7158
683,0.7167
488,0.7168
343,0.7168
819,0.7169
915,0.7171
744,0.7171
439,0.7175
264,0.7183
120,0.7184
783,0.7185
899,0.7193
567,0.7197
592,0.7199
82,0.7200
498,0.7205
746,0.7206
911,0.7209
227,0.7217
527,0.7218
654,0.7233
756,0.7242
679,0.7247
830,0.7252
154,0.7267
287,0.7271
312,0.7271
73,0.7272
263,0.7273
900,0.7281
140,0.7282
934,0.7290
301,0.7294
300,0.7296
420,0.7302
936,0.7303
392,0.7319
586,0.7321
536,0.7322
139,0.7324
867,0.7325
758,0.7337
883,0.7345
297,0.7347
709,0.7350
740,0.7356
222,0.7361
712,0.7366
566,0.7374
558,0.7381
164,0.7392
508,0.7394
152,0.7421
122,0.7439
692,0.7441
824,0.7445
817,0.7451
743,0.7451
891,0.7456
257,0.7458
105,0.7461
486,0.7463
747,0.7465
605,0.7465
400,0.7468
327,0.7468
62,0.7478
856,0.7491
458,0.7493
188,0.7500
53,0.7502
370,0.7507
278,0.7508
802,0.7511
742,0.7511
673,0.7518
940,0.7521
667,0.7534
460,0.7542
242,0.7542
872,0.7542
904,0.7544
333,0.7545
769,0.7545
467,0.7546
596,0.7559
528,0.7560
881,0.7561
582,0.7571
693,0.7571
691,0.7571
338,0.7578
435,0.7583
250,0.7588
717,0.7590
704,0.7594
825,0.7607
128,0.7617
754,0.7617
798,0.7618
409,0.7628
133,0.7633
886,0.7634
929,0.7638
937,0.7638
270,0.7640
871,0.7647
27,0.7653
635,0.7657
454,0.7658
415,0.7663
183,0.7664
487,0.7665
674,0.7675
584,0.7678
445,0.7679
499,0.7685
587,0.7692
822,0.7696
438,0.7698
371,0.7700
789,0.7705
381,0.7705
831,0.7710
759,0.7713
114,0.7722
39,0.7725
500,0.7737
59,0.7743
150,0.7749
815,0.7755
547,0.7761
244,0.7767
515,0.7769
526,0.7770
14,0.7780
318,0.7793
351,0.7805
306,0.7807
76,0.7811
725,0.7812
808,0.7813
149,0.7814
533,0.7816
896,0.7816
95,0.7826
578,0.7846
670,0.7854
446,0.7858
626,0.7861
610,0.7867
1,0.7870
368,0.7875
108,0.7876
433,0.7878
91,0.7885
828,0.7887
341,0.7913
7,0.7919
189,0.7923
593,0.7925
307,0.7932
859,0.7941
861,0.7960
922,0.7963
406,0.7964
201,0.7967
193,0.7971
734,0.7979
690,0.7987
803,0.8017
512,0.8017
505,0.8020
461,0.8025
878,0.8033
638,0.8039
623,0.8052
54,0.8054
69,0.8056
714,0.8061
751,0.8079
912,0.8093
581,0.8099
346,0.8101
4,0.8104
620,0.8107
42,0.8107
669,0.8108
224,0.8112
662,0.8124
83,0.8124
305,0.8136
733,0.8143
897,0.8156
718,0.8159
902,0.8188
787,0.8189
913,0.8198
19,0.8200
182,0.8205
310,0.8208
737,0.8209
421,0.8214
99,0.8216
79,0.8226
811,0.8226
568,0.8229
796,0.8241
444,0.8243
317,0.8248
325,0.8258
627,0.8260
103,0.8266
449,0.8268
208,0.8272
491,0.8276
809,0.8284
516,0.8287
901,0.8290
66,0.8313
774,0.8328
365,0.8351
603,0.8361
459,0.8361
494,0.8383
489,0.8384
639,0.8384
205,0.8394
22,0.8402
265,0.8404
196,0.8405
104,0.8410
425,0.8414
707,0.8420
280,0.8428
169,0.8432
719,0.8441
314,0.8447
668,0.8451
656,0.8465
353,0.8466
768,0.8468
161,0.8470
80,0.8486
21,0.8502
203,0.8505
35,0.8511
678,0.8514
282,0.8527
199,0.8541
197,0.8546
337,0.8550
174,0.8559
432,0.8561
653,0.8564
142,0.8567
524,0.8585
853,0.8590
81,0.8596
590,0.8607
123,0.8635
129,0.8646
176,0.8660
46,0.8664
559,0.8668
918,0.8691
848,0.8694
847,0.8706
40,0.8707
387,0.8715
382,0.8727
630,0.8729
395,0.8749
463,0.8758
801,0.8761
781,0.8765
511,0.8766
612,0.8774
485,0.8795
548,0.8799
261,0.8814
304,0.8817
401,0.8829
598,0.8831
404,0.8853
495,0.8853
410,0.8856
71,0.8865
780,0.8867
921,0.8867
437,0.8868
230,0.8878
611,0.8879
49,0.8892
858,0.8907
599,0.8930
121,0.8939
240,0.8939
246,0.8944
917,0.8952
927,0.8981
773,0.9000
288,0.9006
127,0.9018
466,0.9042
336,0.9050
286,0.9063
557,0.9070
898,0.9096
93,0.9120
866,0.9128
492,0.9129
676,0.9142
109,0.9152
124,0.9161
753,0.9166
211,0.9168
845,0.9171
649,0.9171
340,0.9181
689,0.9182
452,0.9189
518,0.9190
930,0.9230
503,0.9238
58,0.9240
791,0.9241
145,0.9262
597,0.9263
706,0.9279
478,0.9286
570,0.9289
884,0.9294
778,0.9295
493,0.9300
637,0.9317
331,0.9317
51,0.9319
675,0.9328
550,0.9338
209,0.9338
245,0.9341
868,0.9341
839,0.9344
652,0.9366
175,0.9371
403,0.9372
125,0.9372
349,0.9378
131,0.9381
89,0.9386
111,0.9405
356,0.9408
115,0.9414
462,0.9465
730,0.9472
170,0.9481
509,0.9491
580,0.9502
342,0.9510
938,0.9538
551,0.9543
805,0.9549
440,0.9560
708,0.9568
352,0.9577
97,0.9589
833,0.9602
697,0.9610
546,0.9622
326,0.9630
496,0.9632
588,0.9634
642,0.9661
5,0.9679
648,0.9683
619,0.9690
143,0.9697
363,0.9699
943,0.9728
157,0.9736
13,0.9740
146,0.9744
385,0.9765
77,0.9776
202,0.9791
364,0.9793
698,0.9797
279,0.9806
223,0.9835
608,0.9843
192,0.9850
61,0.9890
797,0.9890
614,0.9918
55,0.9929
236,0.9974
204,0.9984
269,0.9990
241,0.9993
574,0.9993
601,1.0012
490,1.0019
520,1.0036
366,1.0055
75,1.0086
752,1.0088
705,1.0091
186,1.0116
347,1.0119
374,1.0122
255,1.0129
167,1.0132
316,1.0158
107,1.0169
405,1.0172
358,1.0179
3,1.0183
260,1.0188
88,1.0193
239,1.0204
857,1.0235
408,1.0265
651,1.0282
671,1.0346
212,1.0348
148,1.0373
15,1.0374
362,1.0374
777,1.0376
677,1.0378
134,1.0471
248,1.0473
696,1.0489
863,1.0491
502,1.0545
180,1.0550
657,1.0553
20,1.0561
141,1.0578
873,1.0599
765,1.0607
745,1.0637
159,1.0642
113,1.0645
390,1.0706
837,1.0735
887,1.0763
531,1.0841
914,1.0909
258,1.0911
517,1.0945
736,1.1003
309,1.1020
126,1.1033
672,1.1034
771,1.1045
519,1.1108
289,1.1113
731,1.1137
168,1.1140
726,1.1179
755,1.1228
842,1.1238
617,1.1335
335,1.1358
724,1.1366
68,1.1428
281,1.1502
760,1.1508
153,1.1523
451,1.1532
78,1.1569
206,1.1594
86,1.1694
813,1.1712
217,1.1768
869,1.1774
865,1.1829
424,1.1845
572,1.1897
36,1.1962
695,1.1989
443,1.1994
448,1.2071
729,1.2109
761,1.2164
604,1.2198
812,1.2210
702,1.2245
98,1.2314
818,1.2384
575,1.2452
681,1.2518
166,1.2748
434,1.2885
609,1.2967
418,1.2987
762,1.2990
219,1.3267
34,1.3279
739,1.3425
820,1.3480
732,1.3503
562,1.3652
475,1.3883
589,1.4207
38,1.4309
179,1.4533
50,1.4699
228,1.4884
471,1.5152
229,1.5555
Average:,0.7671
Variance:,0.0378
