User ID,MAE
849,0.2491
355,0.3165
688,0.3328
644,0.3439
384,0.3707
552,0.3708
628,0.4314
10,0.4337
800,0.4343
507,0.4433
923,0.4525
135,0.4568
694,0.4592
457,0.4612
573,0.4622
118,0.4672
540,0.4701
25,0.4707
624,0.4713
829,0.4786
646,0.4799
275,0.4808
60,0.4810
477,0.4845
33,0.4853
894,0.4855
501,0.4921
29,0.4930
367,0.4942
237,0.4958
26,0.4959
757,0.4968
554,0.4982
52,0.4993
710,0.5013
138,0.5031
292,0.5034
348,0.5048
360,0.5048
876,0.5058
428,0.5089
680,0.5105
874,0.5110
543,0.5114
70,0.5147
810,0.5155
640,0.5155
329,0.5175
267,0.5176
602,0.5180
607,0.5202
427,0.5204
276,0.5206
555,0.5241
767,0.5241
583,0.5247
658,0.5248
376,0.5274
908,0.5285
893,0.5293
892,0.5314
650,0.5319
647,0.5335
699,0.5343
794,0.5347
84,0.5352
523,0.5359
907,0.5361
163,0.5363
888,0.5381
173,0.5381
784,0.5410
185,0.5413
549,0.5418
928,0.5421
728,0.5442
701,0.5478
655,0.5483
191,0.5515
210,0.5521
359,0.5536
852,0.5549
464,0.5552
184,0.5555
793,0.5559
772,0.5562
102,0.5565
136,0.5565
748,0.5569
455,0.5578
916,0.5578
615,0.5599
350,0.5601
625,0.5602
274,0.5614
378,0.5616
594,0.5620
132,0.5624
530,0.5643
645,0.5658
117,0.5660
786,0.5662
320,0.5671
838,0.5672
843,0.5674
411,0.5684
74,0.5686
295,0.5695
821,0.5724
323,0.5730
469,0.5736
686,0.5739
591,0.5759
344,0.5760
284,0.5764
106,0.5766
294,0.5770
412,0.5781
407,0.5793
942,0.5800
474,0.5807
85,0.5809
643,0.5815
330,0.5817
862,0.5820
162,0.5822
538,0.5825
377,0.5830
465,0.5831
816,0.5839
564,0.5840
565,0.5848
661,0.5859
259,0.5866
339,0.5877
553,0.5879
542,0.5880
616,0.5892
764,0.5894
372,0.5906
785,0.5910
218,0.5917
283,0.5918
386,0.5920
198,0.5931
429,0.5936
249,0.5937
563,0.5938
906,0.5940
468,0.5948
380,0.5949
321,0.5950
419,0.5962
687,0.5983
939,0.5986
235,0.5987
864,0.5991
110,0.6004
423,0.6005
308,0.6011
272,0.6012
544,0.6015
905,0.6019
426,0.6023
720,0.6026
738,0.6035
171,0.6035
345,0.6049
504,0.6054
920,0.6060
823,0.6066
814,0.6070
844,0.6070
361,0.6077
195,0.6089
827,0.6089
225,0.6097
67,0.6098
328,0.6098
804,0.6121
399,0.6123
875,0.6128
369,0.6145
92,0.6146
766,0.6151
299,0.6151
560,0.6156
666,0.6160
200,0.6165
155,0.6169
357,0.6174
101,0.6188
315,0.6200
177,0.6202
779,0.6204
207,0.6219
332,0.6219
600,0.6222
252,0.6222
788,0.6233
389,0.6233
832,0.6237
456,0.6238
396,0.6239
735,0.6242
16,0.6252
453,0.6261
665,0.6277
87,0.6281
629,0.6294
194,0.6294
220,0.6298
94,0.6306
181,0.6309
379,0.6309
711,0.6309
537,0.6313
895,0.6318
924,0.6330
879,0.6339
450,0.6345
30,0.6347
400,0.6353
750,0.6358
298,0.6360
525,0.6365
413,0.6366
273,0.6373
941,0.6373
926,0.6374
860,0.6374
806,0.6376
932,0.6378
835,0.6381
373,0.6382
238,0.6384
65,0.6384
513,0.6386
322,0.6395
442,0.6406
700,0.6412
47,0.6419
394,0.6421
545,0.6423
277,0.6431
72,0.6432
154,0.6433
807,0.6433
795,0.6435
213,0.6440
770,0.6440
482,0.6443
262,0.6445
571,0.6446
889,0.6449
247,0.6450
251,0.6452
514,0.6463
659,0.6468
855,0.6473
664,0.6476
633,0.6506
534,0.6507
144,0.6510
447,0.6511
216,0.6520
556,0.6521
291,0.6522
2,0.6524
522,0.6528
480,0.6528
234,0.6535
529,0.6535
393,0.6535
576,0.6545
187,0.6549
641,0.6550
660,0.6553
851,0.6556
9,0.6558
