Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
418,3.5814,1.4186,5.0000,4.9952,0.0048
28,3.9312,0.0688,4.0000,4.0417,0.0417
1032,2.8750,1.1250,4.0000,3.8683,0.1317
404,3.6733,1.3267,5.0000,4.8336,0.1664
71,3.7818,1.2182,5.0000,4.7992,0.2008
82,3.7203,1.2797,5.0000,4.7992,0.2008
395,2.5893,0.4107,3.0000,3.2141,0.2141
672,2.7231,0.2769,3.0000,3.2371,0.2371
218,3.4561,0.4561,3.0000,2.7344,0.2656
780,3.0000,1.0000,4.0000,3.7008,0.2992
155,3.1020,1.8980,5.0000,4.6968,0.3032
627,3.2267,1.7733,5.0000,4.5694,0.4306
105,2.5676,0.4324,3.0000,3.4557,0.4557
401,2.8026,0.1974,3.0000,3.4595,0.4595
328,3.4237,0.5763,4.0000,3.5314,0.4686
451,3.3471,1.6529,5.0000,4.5271,0.4729
243,2.4394,0.5606,3.0000,3.5055,0.5055
70,3.6614,1.3386,5.0000,4.4820,0.5180
588,3.7921,1.2079,5.0000,4.4709,0.5291
616,3.4219,0.4219,3.0000,3.5449,0.5449
140,3.2131,1.7869,5.0000,4.4310,0.5690
67,3.0485,0.9515,4.0000,3.4036,0.5964
465,3.5647,1.4353,5.0000,4.3841,0.6159
78,2.4545,2.5455,5.0000,4.3402,0.6598
35,2.1818,2.8182,5.0000,4.2231,0.7769
234,3.7750,1.2250,5.0000,4.2115,0.7885
411,2.9141,0.0859,3.0000,3.7945,0.7945
1,3.8783,1.1217,5.0000,4.1744,0.8256
1037,2.0000,2.0000,4.0000,3.1312,0.8688
161,3.4818,1.5182,5.0000,4.1205,0.8795
252,2.9430,2.0570,5.0000,4.1192,0.8808
550,3.2848,1.2848,2.0000,2.9358,0.9358
501,3.4959,1.5041,5.0000,4.0208,0.9792
225,2.9083,2.0917,5.0000,4.0117,0.9883
95,3.8128,1.1872,5.0000,4.0011,0.9989
162,3.5566,1.4434,5.0000,3.9965,1.0035
112,2.4500,2.5500,5.0000,3.9679,1.0321
259,2.6852,0.3148,3.0000,4.0371,1.0371
88,3.5399,1.4601,5.0000,3.9612,1.0388
1036,2.7500,1.2500,4.0000,2.9595,1.0405
410,3.1296,0.1296,3.0000,4.0433,1.0433
153,3.7854,1.2146,5.0000,3.9325,1.0675
356,3.3814,1.3814,2.0000,3.0724,1.0724
313,4.2457,0.7543,5.0000,3.9215,1.0785
406,2.4490,0.4490,2.0000,3.1130,1.1130
1016,3.4599,1.5401,5.0000,3.8697,1.1303
424,1.3158,1.6842,3.0000,1.8680,1.1320
637,3.0263,1.0263,2.0000,3.1608,1.1608
720,3.0233,1.9767,5.0000,3.8176,1.1824
389,3.4444,1.5556,5.0000,3.8046,1.1954
433,3.6901,1.3099,5.0000,3.7927,1.2073
420,3.6667,1.3333,5.0000,3.7740,1.2260
742,3.6442,1.3558,5.0000,3.7598,1.2402
200,3.8252,1.1748,5.0000,3.7354,1.2646
423,3.8333,1.1667,5.0000,3.7249,1.2751
1033,2.7813,2.2188,5.0000,3.7211,1.2789
405,3.3140,1.6860,5.0000,3.7108,1.2892
318,4.4664,1.4664,3.0000,4.3014,1.3014
1028,3.0405,1.9595,5.0000,3.6984,1.3016
758,1.7143,0.7143,1.0000,2.3058,1.3058
419,3.7247,1.2753,5.0000,3.6694,1.3306
118,3.2150,1.7850,5.0000,3.6664,1.3336
294,3.1567,1.8433,5.0000,3.6552,1.3448
69,3.8536,1.1464,5.0000,3.6505,1.3495
392,3.5441,1.4559,5.0000,3.6269,1.3731
409,3.1429,1.8571,5.0000,3.6021,1.3979
97,3.7930,1.2070,5.0000,3.5750,1.4250
